,hire_date,user_id,book_id,due_date,hire_type,id_y,price,return_date,status,barcode,title_id
157,2019-01-14 00:00:00+00:00,22,58583-60,2019-01-21 00:00:00+00:00,3,163,16538.75,2019-01-14 15:24:02+00:00,1,58583-60,100
158,2019-01-14 00:00:00+00:00,22,58583-60,2019-01-21 00:00:00+00:00,3,164,16538.75,2019-01-15 09:38:28+00:00,1,58583-60,100
159,2019-01-15 00:00:00+00:00,101,021021893,2019-01-22 00:00:00+00:00,3,165,25000.0,2019-01-15 11:39:22+00:00,1,021021893,112
160,2019-01-15 00:00:00+00:00,101,021021893,2019-01-22 00:00:00+00:00,3,166,25000.0,2019-01-16 10:07:35+00:00,1,021021893,112
161,2019-01-15 00:00:00+00:00,70,53681-70,2019-01-22 00:00:00+00:00,3,167,23962.25,2019-01-22 10:10:59+00:00,1,53681-70,107
162,2019-01-16 00:00:00+00:00,24,53618-130,2019-01-23 00:00:00+00:00,3,168,25000.0,2019-01-16 09:56:32+00:00,1,53618-130,1
163,2019-01-16 00:00:00+00:00,27,53499-60,2019-01-23 00:00:00+00:00,3,169,13887.5,2019-01-16 10:03:29+00:00,1,53499-60,133
164,2019-01-18 00:00:00+00:00,27,53698-100,2019-07-15 00:00:00+00:00,2,170,46864.0,2019-01-18 09:13:13+00:00,1,53698-100,12
165,2019-01-24 00:00:00+00:00,93,021022409,2019-01-31 00:00:00+00:00,3,171,25000.0,2019-01-30 10:33:43+00:00,1,021022409,157
166,2019-02-12 00:00:00+00:00,113,58578-60,2019-02-26 00:00:00+00:00,3,175,0.0,2019-02-15 14:33:48+00:00,1,58578-60,20
167,2019-02-13 00:00:00+00:00,69,53499-60,2019-07-15 00:00:00+00:00,2,176,55550.0,2019-04-18 09:15:45+00:00,1,53499-60,133
168,2019-02-15 00:00:00+00:00,120,021022394,2019-07-15 00:00:00+00:00,2,177,100000.0,2019-02-15 13:05:29+00:00,1,021022394,155
169,2019-02-18 00:00:00+00:00,67,52076-130,2019-02-25 00:00:00+00:00,3,178,16564.0,2019-02-20 11:20:10+00:00,1,52076-130,91
170,2019-02-28 00:00:00+00:00,62,52076-130,2019-07-15 00:00:00+00:00,2,182,66256.0,2019-02-28 11:55:34+00:00,1,52076-130,91
171,2019-02-28 00:00:00+00:00,62,52076-130,2019-07-15 00:00:00+00:00,2,183,66256.0,2019-02-28 11:56:35+00:00,1,52076-130,91
172,2019-02-28 00:00:00+00:00,110,53700-140,2019-03-07 00:00:00+00:00,3,185,15276.25,2019-03-05 10:26:45+00:00,1,53700-140,34
